english,grammar
move far from obs4,[MOVE] [FAR] [OBS4]
move near obs3,[MOVE] [NEAR] [OBS3]
move between obs5 and obs6,[MOVE] [BETWEEN] [OBS5] [OBS6]
Take left of obs9,[TAKE] [LEFT] [OBS9]
Take to right of obs10,[TAKE] [RIGHT] [OBS10]
Move left globally,[LEFT] [GLOBAL]
Move far from obs5.,[FAR] [OBS5]
Move closer to obs1.,[MOVE] [NEAR] [OBS1]
Take left of obs8.,[TAKE] [LEFT] [OBS8]
Take to the right of obs3.,[TAKE] [RIGHT] [OBS3]
Move right globally.,[MOVE] [RIGHT] [GLOBAL]
Move between obs4 and obs7.,[MOVE] [BETWEEN] [OBS4] [OBS7]
Move far away from obs9.,[MOVE] [FAR] [OBS9]
Take left of obs6.,[TAKE] [LEFT] [OBS6]
Move near obs10.,[MOVE] [NEAR] [OBS10]
Move between obs1 and obs5.,[MOVE] [BETWEEN] [OBS1] [OBS5]
Take right of obs2.,[TAKE] [RIGHT] [OBS2]
Move left globally.,[MOVE] [LEFT] [GLOBAL]
Move closer to obs4.,[MOVE] [NEAR] [OBS4]
Move between obs6 and obs8.,[MOVE] [BETWEEN] [OBS6] [OBS8]
Take right of obs1.,[TAKE] [RIGHT] [OBS1]
Move far from obs3.,[TAKE] [FAR] [OBS3]
Take left of obs10.,[TAKE] [LEFT] [OBS10]
Move between obs2 and obs9.,[MOVE] [BETWEEN] [OBS2] [OBS9]
Move closer to obs7.,[MOVE] [NEAR] [OBS7]
Move right globally.,[MOVE] [RIGHT] [GLOBAL]
Take left of obs5.,[TAKE] [LEFT] [OBS5]
Move far from obs2.,[MOVE] [FAR] [OBS2]
Move between obs1 and obs6.,[MOVE] [BETWEEN] [OBS1] [OBS6]
Take right of obs9.,[TAKE] [RIGHT] [OBS9]
Move closer to obs3.,[MOVE] [NEAR] [OBS3]
Move left globally.,[MOVE] [LEFT] [GLOBAL]
Move between obs3 and obs8.,[MOVE] [BETWEEN] [OBS3] [OBS8]
Take right of obs2.,[TAKE] [RIGHT] [OBS2]
Move far from obs7.,[MOVE] [FAR] [OBS7]
Move to the left of obs4.,[MOVE] [LEFT] [OBS4]
Move between obs5 and obs10.,[MOVE] [BETWEEN] [OBS5] [OBS10]
Move near obs6.,[MOVE] [NEAR] [OBS6]
Move right globally.,[MOVE] [RIGHT] [GLOBAL]
Take right of obs1.,[MOVE] [RIGHT] [OBS1]
Move far from obs4.,[MOVE] [FAR] [OBS4]
Move between obs2 and obs7.,[MOVE] [BETWEEN] [OBS2] [OBS7]
Take left of obs8.,[TAKE] [LEFT] [OBS8]
Move near obs2.,[MOVE] [NEAR] [OBS2]
Move left globally.,[MOVE] [LEFT] [GLOBAL]
Take right of obs3.,[TAKE] [RIGHT] [OBS3]
Move between obs4 and obs9.,[MOVE] [BETWEEN] [OBS4] [OBS9]
Move far away from obs6.,[MOVE] [FAR] [OBS6]
Take left of obs1.,[TAKE] [LEFT] [OBS1]
Move closer to obs5.,[MOVE] [NEAR] [OBS6]
Move between obs1 and obs4.,[MOVE] [BETWEEN] [OBS1] [OBS4]
Take right of obs7.,[TAKE] [RIGHT] [OBS7]
Move right globally.,[MOVE] [RIGHT] [GLOBAL]
Move farther from obs10.,[MOVE] [FAR] [OBS10]
Take to the left of obs3.,[TAKE] [LEFT] [OBS3]
Move between obs6 and obs10.,[MOVE] [BETWEEN] [OBS6] [OBS10]
Move closer to obs9.,[MOVE] [NEAR] [OBS9]
Move left globally.,[MOVE] [LEFT] [GLOBAL]
Take right of obs4.,[TAKE] [RIGHT] [OBS4]
Move between obs3 and obs7.,[MOVE] [BETWEEN] [OBS3] [OBS7]
Take left of obs2.,[TAKE] [LEFT] [OBS2]
Move far from obs8.,[MOVE] [FAR] [OBS8]
Move near obs1.,[MOVE] [NEAR] [OBS1]
Move between obs5 and obs9.,[MOVE] [BETWEEN] [OBS5] [OBS9]
Take left of obs10.,[TAKE] [LEFT] [OBS10]
Move right globally.,[MOVE] [RIGHT] [GLOBAL]
Move far away from obs3.,[MOVE] [FAR] [OBS3]
Take from right of obs6.,[TAKE] [RIGHT] [OBS6]
Move between obs2 and obs6.,[MOVE] [BETWEEN] [OBS2] [OBS6]
Move closer to obs4.,[MOVE] [NEAR] [OBS4]
Move left globally.,[MOVE] [LEFT] [GLOBAL]
Take right of obs5.,[TAKE] [RIGHT] [OBS5]
Move between obs4 and obs8.,[MOVE] [BETWEEN] [OBS4] [OBS8]
Move from left of obs1.,[MOVE] [LEFT] [OBS1]
Move farther from obs9.,[MOVE] [FAR] [OBS9]
Move closer to obs10.,[MOVE] [NEAR] [OBS10]
Move between obs1 and obs7.,[MOVE] [BETWEEN] [OBS1] [OBS7]
Take right of obs3.,[TAKE] [RIGHT] [OBS3]
Move right globally.,[MOVE] [RIGHT] [GLOBAL]
Move far from obs6.,[MOVE] [FAR] [OBS6]
Take to the left of obs2.,[TAKE] [LEFT] [OBS2]
Move between obs5 and obs8.,[MOVE] [BETWEEN] [OBS5] [OBS8]
Move closer to obs3.,[MOVE] [NEAR] [OBS3]
Move left globally.,[MOVE] [LEFT] [GLOBAL]
Take right of obs6.,[TAKE] [RIGHT] [OBS6]
Move between obs3 and obs6.,[MOVE] [BETWEEN] [OBS3] [OBS6]
Move far away from obs4.,[MOVE] [FAR] [OBS4]
Take left of obs7.,[TAKE] [LEFT] [OBS7]
Move near obs8.,[MOVE] [NEAR] [OBS8]
Move between obs2 and obs5.,[MOVE] [BETWEEN] [OBS2] [OBS5]
Take right of obs10.,[TAKE] [RIGHT] [OBS10]
Move right globally.,[MOVE] [RIGHT] [GLOBAL]
Move far from obs1.,[MOVE] [FAR] [OBS1]
Move between obs4 and obs10.,[MOVE] [BETWEEN] [OBS4] [OBS10]
Take to the left of obs5.,[TAKE] [LEFT] [OBS5]
Move near obs6.,[MOVE] [NEAR] [OBS6]
Move left globally.,[MOVE] [LEFT] [GLOBAL]
Take right of obs7.,[TAKE] [RIGHT] [OBS7]
Move between obs1 and obs9.,[MOVE] [BETWEEN] [OBS1] [OBS9]
Move far from obs2.,[MOVE] [FAR] [OBS2]
Take from left of obs4.,[TAKE] [LEFT] [OBS4]
Move between obs6 and obs9.,[MOVE] [BETWEEN] [OBS1] [OBS9]
Take left of obs3.,[TAKE] [LEFT] [OBS3]
Move closer to obs7.,[MOVE] [NEAR] [OBS7]
Move right globally.,[MOVE] [RIGHT] [GLOBAL]
Move between obs2 and obs4.,[MOVE] [BETWEEN] [OBS2] [OBS4]
